date,platform,country,networks,market_volume
2021-12-11,iOS,WW,IronSource,5049386.244877786
2021-12-11,iOS,WW,Chartboost,1813071.0442931792
2021-12-06,Android,WW,AppLovin,5316470.303320313
2021-12-06,Android,WW,Amazon,16026026.999072855
2021-12-06,Android,WW,AdMob,3627443.2836977453
2021-12-06,Android,WW,Facebook,5989410.412316759
2021-12-06,Android,WW,Unity,2856073.7893705834
2021-12-06,Android,WW,other,3644848.8863034598
2021-12-06,Android,WW,IronSource,4929407.91407732
2021-12-06,Android,WW,Chartboost,1128959.5029635874
2021-12-12,Android,WW,Unity,3836579.2250731937
2021-12-12,Android,WW,IronSource,12940567.317961166
2021-12-12,Android,WW,Facebook,8461125.207427945
2021-12-12,Android,WW,AdMob,6979436.162181818
2021-12-12,Android,WW,Chartboost,1504831.0416556054
2021-12-12,Android,WW,other,8378839.193006994
2021-12-12,Android,WW,Amazon,36485884.861853406
2021-12-12,Android,WW,AppLovin,8203231.050376188
2021-12-08,iOS,WW,Unity,2576095.635957795
2021-12-08,iOS,WW,AppLovin,3006979.101087938
2021-12-08,iOS,WW,Facebook,3989329.3484697975
2021-12-08,iOS,WW,Chartboost,1130732.3682119204
2021-12-08,iOS,WW,Amazon,1982592.7024037384
2021-12-08,iOS,WW,AdMob,8071793.451874111
2021-12-08,iOS,WW,other,2444606.303039672
2021-12-08,iOS,WW,IronSource,2879418.2941734497
2021-12-10,Android,WW,Chartboost,3590628.827268267
2021-12-10,Android,WW,Unity,2924202.0482807513
2021-12-10,Android,WW,AppLovin,6421222.323074235
2021-12-10,Android,WW,Facebook,8012411.734698638
2021-12-10,Android,WW,Amazon,35236821.395359784
2021-12-10,Android,WW,AdMob,5670146.447375651
2021-12-10,Android,WW,IronSource,10961912.495198961
2021-12-10,Android,WW,other,8026691.384396521
2021-12-09,Android,WW,AdMob,4989771.279895856
2021-12-09,Android,WW,Facebook,7118110.1111248275
2021-12-09,Android,WW,Unity,2870055.4287176034
2021-12-09,Android,WW,Amazon,27317755.797429018
2021-12-09,Android,WW,IronSource,6200694.947831033
2021-12-09,Android,WW,AppLovin,6031038.31091772
2021-12-09,Android,WW,Chartboost,1186244.2112368613
2021-12-09,Android,WW,other,7287331.203064511
2021-12-09,iOS,WW,Facebook,4819494.155538461
2021-12-09,iOS,WW,IronSource,3157705.4149514018
2021-12-09,iOS,WW,AppLovin,3082129.924229363
2021-12-09,iOS,WW,other,3003091.9588910867
2021-12-09,iOS,WW,Unity,3279102.5014651115
2021-12-09,iOS,WW,AdMob,6980784.038983764
2021-12-09,iOS,WW,Chartboost,1064129.2912297298
2021-12-09,iOS,WW,Amazon,6771220.268456376
2021-12-07,iOS,WW,AdMob,7171403.618084211
2021-12-07,iOS,WW,AppLovin,2596945.0271306066
2021-12-07,iOS,WW,IronSource,2935923.9104193705
2021-12-07,iOS,WW,Facebook,2973119.268234171
2021-12-07,iOS,WW,Amazon,7098187.361641792
2021-12-07,iOS,WW,Chartboost,1030936.3243120566
2021-12-07,iOS,WW,other,1941122.6508126385
2021-12-07,iOS,WW,Unity,2733232.819617391
2021-12-02,iOS,US,AppLovin,1317335.7163253364
